customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3962,1,0.0,0,0,0.07161186531015676,1,0,0,2,0,2,0,0,0,1,0,3,-0.22723614068892714,1466,0
2564,1,0.0,0,0,-1.225090450993751,1,0,0,2,2,0,0,0,0,0,1,3,-0.32739953339109557,157,1
6511,0,0.0,0,0,-1.225090450993751,1,0,1,0,0,0,0,0,0,0,1,2,0.21703697210294864,925,1
6551,0,0.0,0,0,-0.9819587666867683,1,2,1,0,0,2,0,2,2,0,1,2,1.1524338168538435,6104,1
1002,1,0.0,0,1,-0.4146515033038087,1,2,1,0,2,0,0,2,0,0,1,1,0.8115551739480766,1550,0
5604,0,0.0,1,0,-0.17151981899682595,1,2,1,0,0,2,2,2,2,0,1,2,1.3188342918268003,2646,1
4534,1,0.0,0,1,1.206226392076076,1,0,0,2,2,0,0,0,0,1,0,0,-0.2530847581604546,3022,0
6871,1,0.0,1,1,-0.7793490297642828,1,0,0,2,0,0,0,0,0,0,1,3,-0.4534115435647912,4823,0
5288,1,0.0,0,0,-0.6577831876107914,1,0,2,1,1,1,1,1,1,2,0,1,-1.4550454705864748,2836,0
5751,1,0.0,1,0,1.0441386025380877,1,2,1,0,0,2,0,2,2,1,0,1,1.1750513571414296,4693,0
174,1,0.0,0,0,0.6794410760776135,1,2,1,0,2,2,0,2,2,0,1,0,1.2832924428034505,4265,1
3615,1,0.0,0,0,-0.2930856611503173,1,0,1,2,0,2,2,2,2,0,1,2,1.341451832114387,2337,0
2556,0,0.0,1,1,1.489880023767556,1,2,1,2,2,2,2,2,2,2,0,1,1.5918603138698078,5959,0
5820,0,0.0,0,0,0.8010069182311049,1,0,2,1,1,1,1,1,1,1,0,3,-1.4001171584594794,46,0
7019,1,0.0,0,1,1.5709239185365502,1,2,1,2,0,2,0,2,2,2,0,0,1.380224758321678,5704,0
2937,0,0.0,1,1,-0.9009148719177741,1,0,0,0,0,2,2,0,0,0,0,1,-0.2837799914078932,4416,1
2928,0,0.0,0,0,-0.4551734506883058,1,0,1,0,2,2,0,0,2,0,1,2,0.8422504071955155,1433,0
1141,1,0.0,1,0,-0.8198709771487799,1,0,2,1,1,1,1,1,1,1,0,0,-1.4275813145229772,1651,0
723,1,0.0,0,0,-1.2656123983782481,1,0,2,1,1,1,1,1,1,0,0,3,-1.416272544379184,1609,1
